time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/entropy_loss,train/explained_variance
18,4096,226,1,,,,,,,,,,
25,8192,318,2,10,0.00845686,-0.0037340881390264258,259.8658142089844,879.5524320602417,0.0003,0.2,0.0244384765625,-0.6874084933660924,-0.004421710968017578
34,12288,355,3,20,0.015967254,-0.005730637248780113,342.86090087890625,1012.4180912017822,0.0003,0.2,0.0998046875,-0.6551095125265419,0.31313949823379517
42,16384,388,4,30,0.0043754354,-0.003099124223808758,409.02862548828125,982.6765666484832,0.0003,0.2,0.0135009765625,-0.6298631551675499,0.426255464553833
39,20480,518,5,40,0.0040205913,-0.004696573305409402,358.31390380859375,912.1836148738861,0.0003,0.2,0.025634765625,-0.6238534843549133,0.520597904920578
44,24576,551,6,50,0.0050273817,-0.0042473975379834885,353.50836181640625,835.5850363731385,0.0003,0.2,0.020068359375,-0.6107461194507777,0.6088736355304718
44,28672,651,7,60,0.00303502,-0.0032093071597046217,301.8146667480469,772.1758113861084,0.0003,0.2,0.0133544921875,-0.5891923258081079,0.6831809878349304
44,32768,740,8,70,0.0043788254,-0.004180676012765616,271.1870422363281,714.9277490139008,0.0003,0.2,0.027099609375,-0.5583815881051123,0.7351590692996979
44,36864,830,9,80,0.013832446,-0.0036253054669941774,213.84671020507812,631.8600309371948,0.0003,0.2,0.113427734375,-0.5879625490866601,0.7953417599201202
38,40960,1059,10,90,0.0023185099,-0.0015817841500393114,225.32078552246094,583.0612432003021,0.0003,0.2,0.0155029296875,-0.5644052139483392,0.826553001999855
41,45056,1082,11,100,0.006029146,-0.0037438861982082017,187.2686309814453,526.5958681344986,0.0003,0.2,0.0341796875,-0.538874912681058,0.8681342750787735
44,49152,1104,12,110,0.004099317,-0.004589946009218693,183.53082275390625,491.01906940937045,0.0003,0.2,0.0384765625,-0.5083546565845609,0.8950295671820641
47,53248,1125,13,120,0.009637715,-0.0019968241671449506,115.95677185058594,428.65610375404356,0.0003,0.2,0.051318359375,-0.5263106414116919,0.9168186634778976
50,57344,1146,14,130,0.0071712867,-0.004224377799255307,111.24671936035156,386.66508481502535,0.0003,0.2,0.0515380859375,-0.47311735232360663,0.9304026737809181
48,61440,1275,15,140,0.0032135989,-0.0018782970553729683,116.94345092773438,349.3635196685791,0.0003,0.2,0.0240234375,-0.4536242444999516,0.9469867311418056
48,65536,1361,16,150,0.005315908,-0.0016392778648878447,70.41548156738281,290.70838661193847,0.0003,0.2,0.0417236328125,-0.43715011402964593,0.959615133702755
50,69632,1392,17,160,0.007324609,-0.00376945941534359,75.37830352783203,262.08610994815825,0.0003,0.2,0.07255859375,-0.44577872646041217,0.9658680073916912
52,73728,1416,18,170,0.004298907,-0.0027161384598002767,54.242652893066406,211.26625952720642,0.0003,0.2,0.0415283203125,-0.42463339529931543,0.9731837268918753
54,77824,1440,19,180,0.0053505395,-0.0028893102760775948,48.229583740234375,183.5852479159832,0.0003,0.2,0.045361328125,-0.40217944416217505,0.9788356460630894
51,81920,1584,20,190,0.007038219,-0.0043694811276509425,27.363788604736328,164.4625200867653,0.0003,0.2,0.0511474609375,-0.35605671191588045,0.9833784606307745
53,86016,1597,21,200,0.005395293,-0.0023198201015475206,22.375320434570312,131.97820021510125,0.0003,0.2,0.03623046875,-0.3310050131287426,0.9873868087306619
55,90112,1615,22,210,0.004779075,-0.001175898492510896,17.10519027709961,100.5149756461382,0.0003,0.2,0.04501953125,-0.32628838226664814,0.9912146786227822
57,94208,1642,23,220,0.0050769686,-0.0034430027386406436,10.020149230957031,80.03819789290428,0.0003,0.2,0.052099609375,-0.3379693294176832,0.9919999074190855
58,98304,1668,24,230,0.0048230076,-0.0017406649494660087,6.225596904754639,64.81148022413254,0.0003,0.2,0.0448974609375,-0.31142706286627797,0.9942766390740871
56,102400,1800,25,240,0.004213497,-0.001586502842110349,3.0264673233032227,44.616852675378325,0.0003,0.2,0.034912109375,-0.3108018599450588,0.9958481849171221
58,106496,1825,26,250,0.008179411,-0.0022003387988661417,1.337184190750122,31.045575818419458,0.0003,0.2,0.0365966796875,-0.26764221957419065,0.9974042025860399
59,110592,1852,27,260,0.0029546856,-0.0026058044168166816,1.0253843069076538,21.741545351222157,0.0003,0.2,0.025927734375,-0.247155517549254,0.998018836369738
61,114688,1876,28,270,0.0034140043,-0.003183218564663548,0.5082058310508728,12.882377018406988,0.0003,0.2,0.023291015625,-0.22195795990992337,0.9988067927770317
62,118784,1900,29,280,0.0023286226,-0.0031019406160339713,0.4785706400871277,7.648528334824368,0.0003,0.2,0.0233154296875,-0.1932650487171486,0.9992588333552703
60,122880,2035,30,290,0.0013781706,-0.003658748170710169,0.4381043016910553,4.673189613223076,0.0003,0.2,0.0245361328125,-0.1753932330175303,0.999536666815402
61,126976,2063,31,300,0.0024529747,-0.003885130579874385,0.4192345440387726,2.674888633238152,0.0003,0.2,0.0165283203125,-0.14103085175156593,0.9997662262030644
62,131072,2092,32,310,0.0011533744,-0.0047299936581111975,0.36215221881866455,1.89829534702003,0.0003,0.2,0.0216064453125,-0.12871429375372828,0.99982819458819
